Simulation ID,Rules,Timestamp,Station ID,Order ID,Task Name,Event Type,Details
Simulation1,FCFS + FCFS,0.00,N/A,N/A,N/A,Simulation Start,N/A
Simulation1,FCFS + FCFS,0.00,A-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,0.00,A-2,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,0.00,B-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,0.00,B-2,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,0.00,C-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,0.00,C-2,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,0.00,D-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,0.00,D-2,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,0.00,D-3,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,0.00,E-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,0.00,N/A,O-1,N/A,Order Arrival,5 tasks included
Simulation1,FCFS + FCFS,0.00,A-1,O-1,T1,Order Released,Continuous Release
Simulation1,FCFS + FCFS,0.00,A-1,O-1,T1,Task Added,
Simulation1,FCFS + FCFS,0.00,A-1,N/A,N/A,Idle End,Idle duration: 0.00
Simulation1,FCFS + FCFS,0.00,A-1,O-1,T1,Task Start,Process time: 0.68
Simulation1,FCFS + FCFS,0.68,A-1,O-1,T1,Task Complete,"TWT: 0.68, TIT: 0.00"
Simulation1,FCFS + FCFS,0.68,B-1,O-1,T2,Task Added,
Simulation1,FCFS + FCFS,0.68,C-1,O-1,T3,Task Added,
Simulation1,FCFS + FCFS,0.68,B-1,N/A,N/A,Idle End,Idle duration: 0.68
Simulation1,FCFS + FCFS,0.68,C-1,N/A,N/A,Idle End,Idle duration: 0.68
Simulation1,FCFS + FCFS,0.68,A-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,0.68,B-1,O-1,T2,Task Start,Process time: 1.69
