Simulation ID,Rules,Order ID,Task1_Name,Task1_Start,Task1_End,Task1_Duration,Task2_Name,Task2_Start,Task2_End,Task2_Duration,Task3_Name,Task3_Start,Task3_End,Task3_Duration,Task4_Name,Task4_Start,Task4_End,Task4_Duration,Task5_Name,Task5_Start,Task5_End,Task5_Duration,Priority,Plan Name,Depth,Arrival Time,Due Date,Finish Time,Throughput Time,Total Process Time
Simulation1,FCFS + FCFS,O-1,T1,0.0,0.68,0.68,T2,0.68,2.37,1.69,T3,0.68,2.13,1.4499999999999997,T4,6.32,10.35,4.029999999999999,T5,10.35,12.46,2.110000000000001,2,SampleProcessPlan1,4,0.0,41.05,12.46,12.46,9.96
Simulation1,FCFS + FCFS,O-10,T1,9.82,13.85,4.029999999999999,,,,,,,,,,,,,,,,,0,SampleProcessPlan1,1,8.73,57.31,13.85,5.11,4.03
Simulation1,FCFS + FCFS,O-11,T4,10.35,14.67,4.32,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,9.1,57.52,14.67,5.57,4.32
Simulation1,FCFS + FCFS,O-12,T4,14.28,18.13,3.8499999999999996,T1,24.84,27.33,2.4899999999999984,T2,27.33,29.18,1.8500000000000014,T3,30.78,34.88,4.100000000000001,,,,,2,SampleProcessPlan2,3,9.18,52.7,34.88,25.7,12.29
Simulation1,FCFS + FCFS,O-13,T4,14.67,18.41,3.74,T1,27.33,27.58,0.25,T3,29.43,35.32,5.890000000000001,T2,32.1,34.88,2.780000000000001,,,,,2,SampleProcessPlan2,3,10.02,58.8,35.32,25.3,12.66
Simulation1,FCFS + FCFS,O-14,T4,18.41,22.66,4.25,T1,24.45,25.67,1.2200000000000024,,,,,,,,,,,,,2,SampleProcessPlan2,2,11.03,54.15,25.67,14.64,5.47
Simulation1,FCFS + FCFS,O-15,T4,12.57,15.63,3.0600000000000005,T1,16.75,24.84,8.09,T2,24.84,28.85,4.010000000000002,T3,24.84,28.77,3.9299999999999997,,,,,2,SampleProcessPlan2,3,11.12,56.64,28.85,17.73,19.09
Simulation1,FCFS + FCFS,O-16,T4,19.75,24.39,4.640000000000001,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,13.75,53.81,24.39,10.64,4.64
Simulation1,FCFS + FCFS,O-17,T4,18.13,21.25,3.120000000000001,,,,,,,,,,,,,,,,,0,SampleProcessPlan2,1,13.93,54.22,21.25,7.32,3.12
Simulation1,FCFS + FCFS,O-18,T1,14.08,16.75,2.67,T2,16.75,24.44,7.690000000000001,T3,16.88,18.11,1.2300000000000004,,,,,,,,,0,SampleProcessPlan1,2,14.08,63.78,24.44,10.36,11.59
Simulation1,FCFS + FCFS,O-19,T1,22.38,24.45,2.0700000000000003,,,,,,,,,,,,,,,,,1,SampleProcessPlan1,1,14.52,57.33,24.45,9.93,2.07
Simulation1,FCFS + FCFS,O-2,T4,2.05,6.32,4.2700000000000005,T1,11.92,12.73,0.8100000000000005,T2,12.97,15.82,2.8499999999999996,T3,14.49,17.44,2.950000000000001,T5,15.82,20.34,4.52,2,SampleProcessPlan2,4,2.05,50.86,20.34,18.29,15.4
Simulation1,FCFS + FCFS,O-20,T1,19.37,22.38,3.009999999999998,T2,22.38,24.14,1.7600000000000016,T3,22.38,24.21,1.8300000000000018,,,,,,,,,0,SampleProcessPlan1,2,15.14,61.9,24.21,9.07,6.6
Simulation1,FCFS + FCFS,O-21,T4,21.25,25.6,4.350000000000001,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,16.5,58.31,25.6,9.1,4.35
Simulation1,FCFS + FCFS,O-22,T1,27.58,30.55,2.9700000000000024,T2,33.45,35.72,2.269999999999996,T3,34.88,39.81,4.93,,,,,,,,,2,SampleProcessPlan1,2,18.25,63.8,39.81,21.56,10.17
Simulation1,FCFS + FCFS,O-23,T4,22.66,26.11,3.4499999999999993,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,21.06,68.26,26.11,5.05,3.45
Simulation1,FCFS + FCFS,O-24,T4,24.39,29.61,5.219999999999999,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,21.45,65.67,29.61,8.17,5.22
Simulation1,FCFS + FCFS,O-25,T1,27.64,31.17,3.530000000000001,T3,35.32,40.49,5.170000000000002,T2,35.72,38.48,2.759999999999998,,,,,,,,,2,SampleProcessPlan1,2,21.55,63.19,40.49,18.94,11.46
Simulation1,FCFS + FCFS,O-26,T1,30.55,32.23,1.6799999999999962,T2,38.48,42.85,4.3700000000000045,T3,40.49,42.57,2.0799999999999983,T4,42.93,46.48,3.549999999999997,T5,48.31,53.13,4.82,2,SampleProcessPlan1,4,21.65,68.3,53.13,31.48,16.5
Simulation1,FCFS + FCFS,O-27,T4,25.6,28.85,3.25,T1,31.17,36.71,5.539999999999999,T3,51.26,53.33,2.0700000000000003,T2,65.2,74.25,9.049999999999997,,,,,2,SampleProcessPlan2,3,22.89,64.43,74.25,51.37,19.91
Simulation1,FCFS + FCFS,O-28,T1,25.67,26.41,0.7399999999999984,T3,26.41,29.43,3.0199999999999996,T2,28.85,33.45,4.600000000000001,T4,37.15,41.29,4.140000000000001,T5,45.65,48.31,2.6600000000000037,1,SampleProcessPlan1,4,24.03,66.86,48.31,24.28,15.16
Simulation1,FCFS + FCFS,O-29,T1,34.8,35.01,0.21000000000000085,T3,43.9,48.67,4.770000000000003,T2,57.91,63.28,5.3700000000000045,T4,63.28,69.26,5.980000000000004,,,,,2,SampleProcessPlan1,3,25.41,75.13,69.26,43.85,16.33
Simulation1,FCFS + FCFS,O-3,T4,2.17,5.46,3.29,T1,5.46,8.59,3.13,T2,8.59,9.74,1.1500000000000004,T3,8.59,12.46,3.870000000000001,,,,,2,SampleProcessPlan2,3,2.17,44.2,12.46,10.29,11.44
Simulation1,FCFS + FCFS,O-30,T1,26.41,27.64,1.2300000000000004,T3,28.77,30.78,2.0100000000000016,T2,29.18,32.1,2.9200000000000017,T4,34.02,37.65,3.6299999999999955,T5,37.65,41.16,3.509999999999998,1,SampleProcessPlan1,4,25.98,75.9,41.16,15.18,13.3
