Simulation ID,Rules,Order ID,Priority,Plan Name,Depth,Arrival Time,Due Date,Finish Time,Throughput Time,Total Process Time
Simulation1,FCFS + FCFS,O-1,2,SampleProcessPlan1,4,0.0,41.05,12.46,12.46,9.96
Simulation1,FCFS + FCFS,O-2,2,SampleProcessPlan2,4,2.05,50.86,20.34,18.29,15.4
Simulation1,FCFS + FCFS,O-3,2,SampleProcessPlan2,3,2.17,44.2,12.46,10.29,11.44
Simulation1,FCFS + FCFS,O-4,0,SampleProcessPlan2,2,2.94,51.76,9.12,6.18,5.25
Simulation1,FCFS + FCFS,O-5,1,SampleProcessPlan1,3,5.63,54.61,14.28,8.65,9.4
Simulation1,FCFS + FCFS,O-6,0,SampleProcessPlan1,2,5.84,54.86,15.22,9.38,8.7
Simulation1,FCFS + FCFS,O-7,2,SampleProcessPlan2,2,6.42,52.75,19.37,12.95,9.12
Simulation1,FCFS + FCFS,O-8,1,SampleProcessPlan1,4,7.73,49.56,27.36,19.63,20.15
Simulation1,FCFS + FCFS,O-9,0,SampleProcessPlan2,3,8.0,49.82,17.48,9.48,9.6
Simulation1,FCFS + FCFS,O-10,0,SampleProcessPlan1,1,8.73,57.31,13.85,5.11,4.03
Simulation1,FCFS + FCFS,O-11,2,SampleProcessPlan2,1,9.1,57.52,14.67,5.57,4.32
Simulation1,FCFS + FCFS,O-12,2,SampleProcessPlan2,3,9.18,52.7,34.88,25.7,12.29
Simulation1,FCFS + FCFS,O-13,2,SampleProcessPlan2,3,10.02,58.8,35.32,25.3,12.66
Simulation1,FCFS + FCFS,O-14,2,SampleProcessPlan2,2,11.03,54.15,25.67,14.64,5.47
Simulation1,FCFS + FCFS,O-15,2,SampleProcessPlan2,3,11.12,56.64,28.85,17.73,19.09
Simulation1,FCFS + FCFS,O-16,2,SampleProcessPlan2,1,13.75,53.81,24.39,10.64,4.64
Simulation1,FCFS + FCFS,O-17,0,SampleProcessPlan2,1,13.93,54.22,21.25,7.32,3.12
Simulation1,FCFS + FCFS,O-18,0,SampleProcessPlan1,2,14.08,63.78,24.44,10.36,11.59
Simulation1,FCFS + FCFS,O-19,1,SampleProcessPlan1,1,14.52,57.33,24.45,9.93,2.07
Simulation1,FCFS + FCFS,O-20,0,SampleProcessPlan1,2,15.14,61.9,24.21,9.07,6.6
Simulation1,FCFS + FCFS,O-21,2,SampleProcessPlan2,1,16.5,58.31,25.6,9.1,4.35
Simulation1,FCFS + FCFS,O-22,2,SampleProcessPlan1,2,18.25,63.8,39.81,21.56,10.17
Simulation1,FCFS + FCFS,O-23,2,SampleProcessPlan2,1,21.06,68.26,26.11,5.05,3.45
Simulation1,FCFS + FCFS,O-24,2,SampleProcessPlan2,1,21.45,65.67,29.61,8.17,5.22
Simulation1,FCFS + FCFS,O-25,2,SampleProcessPlan1,2,21.55,63.19,40.49,18.94,11.46
Simulation1,FCFS + FCFS,O-26,2,SampleProcessPlan1,4,21.65,68.3,53.13,31.48,16.5
Simulation1,FCFS + FCFS,O-27,2,SampleProcessPlan2,3,22.89,64.43,74.25,51.37,19.91
Simulation1,FCFS + FCFS,O-28,1,SampleProcessPlan1,4,24.03,66.86,48.31,24.28,15.16
Simulation1,FCFS + FCFS,O-29,2,SampleProcessPlan1,3,25.41,75.13,69.26,43.85,16.33
Simulation1,FCFS + FCFS,O-30,1,SampleProcessPlan1,4,25.98,75.9,41.16,15.18,13.3
Simulation1,FCFS + FCFS,O-31,2,SampleProcessPlan2,4,26.22,70.4,45.65,19.43,15.86
Simulation1,FCFS + FCFS,O-32,2,SampleProcessPlan1,1,26.93,70.59,37.01,10.08,2.0
Simulation1,FCFS + FCFS,O-33,2,SampleProcessPlan2,4,29.12,77.11,62.22,33.1,14.97
Simulation1,FCFS + FCFS,O-34,2,SampleProcessPlan2,1,29.83,78.55,34.02,4.19,4.19
Simulation1,FCFS + FCFS,O-35,2,SampleProcessPlan1,1,30.73,77.85,38.44,7.71,0.81
Simulation1,FCFS + FCFS,O-36,2,SampleProcessPlan1,4,30.88,80.58,78.5,47.62,19.03
Simulation1,FCFS + FCFS,O-37,2,SampleProcessPlan1,1,31.33,71.37,40.6,9.27,0.58
Simulation1,FCFS + FCFS,O-38,2,SampleProcessPlan1,1,31.42,74.65,45.66,14.25,5.06
Simulation1,FCFS + FCFS,O-39,1,SampleProcessPlan2,3,31.81,79.0,52.38,20.57,20.85
Simulation1,FCFS + FCFS,O-40,2,SampleProcessPlan1,2,32.39,80.6,76.79,44.4,11.6
Simulation1,FCFS + FCFS,O-41,2,SampleProcessPlan1,3,32.43,81.68,91.8,59.37,12.48
Simulation1,FCFS + FCFS,O-42,2,SampleProcessPlan2,1,32.87,78.51,37.15,4.28,3.75
Simulation1,FCFS + FCFS,O-43,0,SampleProcessPlan1,2,35.33,82.84,48.66,13.34,12.52
Simulation1,FCFS + FCFS,O-44,2,SampleProcessPlan2,1,36.58,81.06,40.44,3.86,3.86
Simulation1,FCFS + FCFS,O-45,2,SampleProcessPlan1,4,37.61,82.62,96.96,59.36,16.5
Simulation1,FCFS + FCFS,O-46,2,SampleProcessPlan1,2,37.66,77.78,94.38,56.72,8.21
Simulation1,FCFS + FCFS,O-47,2,SampleProcessPlan2,3,38.79,86.15,70.98,32.19,15.62
Simulation1,FCFS + FCFS,O-48,2,SampleProcessPlan1,3,39.27,87.71,Not Finished,Not Finished,14.25
Simulation1,FCFS + FCFS,O-49,2,SampleProcessPlan2,1,39.67,89.16,45.1,5.43,3.81
Simulation1,FCFS + FCFS,O-50,1,SampleProcessPlan2,4,39.88,84.47,59.87,20.0,16.89
Simulation1,FCFS + FCFS,O-51,2,SampleProcessPlan1,1,39.91,85.83,69.17,29.26,2.89
Simulation1,FCFS + FCFS,O-52,2,SampleProcessPlan1,2,40.68,89.73,Not Finished,Not Finished,14.8
